id,imdb_id,title,release_date,vote_average,vote_count
675,tt0373889,Harry Potter and the Order of the Phoenix,2007-06-28,7.4,5633.0
259316,tt3183660,Fantastic Beasts and Where to Find Them,2016-11-16,7.2,5612.0
98,tt0172495,Gladiator,2000-05-01,7.9,5566.0
198663,tt1790864,The Maze Runner,2014-09-10,7.0,5540.0
321612,tt2771200,Beauty and the Beast,2017-03-16,6.8,5530.0
8587,tt0110357,The Lion King,1994-06-23,8.0,5520.0
245891,tt2911666,John Wick,2014-10-22,7.0,5499.0
109445,tt2294629,Frozen,2013-11-27,7.3,5440.0
767,tt0417741,Harry Potter and the Half-Blood Prince,2009-07-07,7.4,5435.0
862,tt0114709,Toy Story,1995-10-30,7.7,5415.0
77338,tt1675434,The Intouchables,2011-11-02,8.2,5410.0
557,tt0145487,Spider-Man,2002-05-01,6.8,5398.0
58,tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,7.0,5380.0
9806,tt0317705,The Incredibles,2004-11-05,7.4,5290.0
82992,tt1905041,Fast & Furious 6,2013-05-06,6.7,5282.0
49538,tt1270798,X-Men: First Class,2011-05-24,7.1,5252.0
70981,tt1446714,Prometheus,2012-05-30,6.3,5152.0
857,tt0120815,Saving Private Ryan,1998-07-24,7.9,5148.0
330459,tt3748528,Rogue One: A Star Wars Story,2016-12-14,7.4,5111.0
1271,tt0416449,300,2006-12-09,7.0,5092.0
24,tt0266697,Kill Bill: Vol. 1,2003-10-10,7.7,5091.0
1865,tt1298650,Pirates of the Caribbean: On Stranger Tides,2011-05-14,6.4,5068.0
297762,tt0451279,Wonder Woman,2017-05-30,7.2,5025.0
14161,tt1190080,2012,2009-10-10,5.6,4994.0
137113,tt1631867,Edge of Tomorrow,2014-05-27,7.6,4979.0
6479,tt0480249,I Am Legend,2007-12-14,6.9,4977.0
269149,tt2948356,Zootopia,2016-02-11,7.7,4961.0
329,tt0107290,Jurassic Park,1993-06-11,7.6,4956.0
68726,tt1663662,Pacific Rim,2013-07-11,6.7,4903.0
122917,tt2310332,The Hobbit: The Battle of the Five Armies,2014-12-10,7.1,4884.0
76338,tt1981115,Thor: The Dark World,2013-10-29,6.8,4873.0
75612,tt1483013,Oblivion,2013-04-10,6.4,4862.0
264660,tt0470752,Ex Machina,2015-01-21,7.6,4862.0
283995,tt3896198,Guardians of the Galaxy Vol. 2,2017-04-19,7.6,4858.0
82693,tt1045658,Silver Linings Playbook,2012-09-08,7.0,4840.0
246655,tt3385516,X-Men: Apocalypse,2016-05-18,6.4,4831.0
72105,tt1637725,Ted,2012-06-29,6.3,4811.0
157350,tt1840309,Divergent,2014-03-14,6.9,4784.0
59967,tt1276104,Looper,2012-09-26,6.6,4777.0
12155,tt1014759,Alice in Wonderland,2010-03-03,6.4,4773.0
1892,tt0086190,Return of the Jedi,1983-05-23,7.9,4763.0
62177,tt1217209,Brave,2012-06-21,6.7,4760.0
23483,tt1250777,Kick-Ass,2010-03-22,7.1,4747.0
313369,tt3783958,La La Land,2016-11-29,7.9,4745.0
211672,tt2293640,Minions,2015-06-17,6.4,4729.0
93456,tt1690953,Despicable Me 2,2013-06-25,7.0,4729.0
10193,tt0435761,Toy Story 3,2010-06-16,7.6,4710.0
37165,tt0120382,The Truman Show,1998-06-04,7.8,4702.0
194662,tt2562232,Birdman,2014-08-27,7.4,4657.0
82690,tt1772341,Wreck-It Ralph,2012-11-01,7.1,4656.0
120467,tt2278388,The Grand Budapest Hotel,2014-02-26,8.0,4644.0
57158,tt1170358,The Hobbit: The Desolation of Smaug,2013-12-11,7.6,4633.0
285,tt0449088,Pirates of the Caribbean: At World's End,2007-05-19,6.9,4627.0
102651,tt1587310,Maleficent,2014-05-28,7.0,4607.0
190859,tt2179136,American Sniper,2014-12-11,7.4,4600.0
13475,tt0796366,Star Trek,2009-05-06,7.4,4574.0
348,tt0078748,Alien,1979-05-25,7.9,4564.0
44214,tt0947798,Black Swan,2010-12-02,7.3,4562.0
752,tt0434409,V for Vendetta,2006-03-15,7.7,4562.0
206647,tt2379713,Spectre,2015-10-26,6.3,4552.0
274,tt0102926,The Silence of the Lambs,1991-02-01,8.1,4549.0
1893,tt0120915,Star Wars: Episode I - The Phantom Menace,1999-05-19,6.4,4526.0
607,tt0119654,Men in Black,1997-07-02,6.9,4521.0
119450,tt2103281,Dawn of the Planet of the Apes,2014-06-26,7.3,4511.0
1124,tt0482571,The Prestige,2006-10-19,8.0,4510.0
2062,tt0382932,Ratatouille,2007-06-22,7.5,4510.0
54138,tt1408101,Star Trek Into Darkness,2013-05-05,7.4,4479.0
381288,tt4972582,Split,2016-11-15,7.0,4461.0
1422,tt0407887,The Departed,2006-10-05,7.9,4455.0
61791,tt1318514,Rise of the Planet of the Apes,2011-08-03,7.0,4452.0
8681,tt0936501,Taken,2008-02-18,7.2,4444.0
424,tt0108052,Schindler's List,1993-11-29,8.3,4436.0
558,tt0316654,Spider-Man 2,2004-06-25,6.7,4432.0
273248,tt3460252,The Hateful Eight,2015-12-25,7.6,4405.0
244786,tt2582802,Whiplash,2014-10-10,8.3,4376.0
127380,tt2277860,Finding Dory,2016-06-16,6.8,4333.0
10191,tt0892769,How to Train Your Dragon,2010-03-05,7.5,4319.0
101,tt0110413,Leon: The Professional,1994-09-14,8.2,4293.0
102382,tt1872181,The Amazing Spider-Man 2,2014-04-16,6.5,4274.0
280,tt0103064,Terminator 2: Judgment Day,1991-07-01,7.7,4274.0
168259,tt2820852,Furious 7,2015-04-01,7.3,4253.0
41154,tt1409024,Men in Black 3,2012-05-23,6.3,4228.0
152601,tt1798709,Her,2013-12-18,7.9,4215.0
218,tt0088247,The Terminator,1984-10-26,7.4,4208.0
1895,tt0121766,Star Wars: Episode III - Revenge of the Sith,2005-05-17,7.1,4200.0
808,tt0126029,Shrek,2001-05-16,7.3,4183.0
36657,tt0120903,X-Men,2000-07-13,6.8,4172.0
77,tt0209144,Memento,2000-10-11,8.1,4168.0
497,tt0120689,The Green Mile,1999-12-10,8.2,4166.0
64688,tt1232829,21 Jump Street,2012-03-12,6.7,4151.0
274870,tt1355644,Passengers,2016-12-21,6.7,4134.0
131634,tt1951266,The Hunger Games: Mockingjay - Part 2,2015-11-18,6.6,4117.0
1858,tt0418279,Transformers,2007-06-27,6.6,4113.0
76170,tt1430132,The Wolverine,2013-07-23,6.3,4110.0
2080,tt0458525,X-Men Origins: Wolverine,2009-04-28,6.2,4086.0
1894,tt0121765,Star Wars: Episode II - Attack of the Clones,2002-05-15,6.4,4074.0
393,tt0378194,Kill Bill: Vol. 2,2004-04-16,7.7,4061.0
228150,tt2713180,Fury,2014-10-15,7.4,4028.0
56292,tt1229238,Mission: Impossible - Ghost Protocol,2011-12-07,6.8,4026.0
562,tt0095016,Die Hard,1988-07-15,7.5,4005.0
920,tt0317219,Cars,2006-06-08,6.6,3991.0
58574,tt1515091,Sherlock Holmes: A Game of Shadows,2011-11-22,7.0,3971.0
129,tt0245429,Spirited Away,2001-07-20,8.3,3968.0
18,tt0119116,The Fifth Element,1997-05-07,7.3,3962.0
425,tt0268380,Ice Age,2002-03-10,7.1,3954.0
85,tt0082971,Raiders of the Lost Ark,1981-06-12,7.7,3949.0
36557,tt0381061,Casino Royale,2006-11-14,7.3,3930.0
165,tt0096874,Back to the Future Part II,1989-11-20,7.4,3926.0
262500,tt2908446,Insurgent,2015-03-18,6.2,3921.0
640,tt0264464,Catch Me If You Can,2002-12-25,7.7,3917.0
863,tt0120363,Toy Story 2,1999-10-30,7.3,3914.0
694,tt0081505,The Shining,1980-05-22,8.1,3890.0
2048,tt0343818,"I, Robot",2004-07-15,6.7,3889.0
51876,tt1219289,Limitless,2011-03-08,7.1,3888.0
64682,tt1343092,The Great Gatsby,2013-05-10,7.3,3885.0
222935,tt2582846,The Fault in Our Stars,2014-05-16,7.6,3868.0
161,tt0240772,Ocean's Eleven,2001-12-07,7.2,3857.0
45243,tt1411697,The Hangover Part II,2011-05-25,6.2,3836.0
78,tt0083658,Blade Runner,1982-06-25,7.9,3833.0
64690,tt0780504,Drive,2011-08-06,7.4,3832.0
500,tt0105236,Reservoir Dogs,1992-09-02,8.1,3821.0
337339,tt4630562,The Fate of the Furious,2017-04-12,6.8,3803.0
76203,tt2024544,12 Years a Slave,2013-10-18,7.9,3787.0
118,tt0367594,Charlie and the Chocolate Factory,2005-07-13,6.7,3759.0
38,tt0338013,Eternal Sunshine of the Spotless Mind,2004-03-19,7.9,3758.0
162,tt0099487,Edward Scissorhands,1990-12-05,7.5,3731.0
8966,tt1099212,Twilight,2008-11-20,5.8,3688.0
559,tt0413300,Spider-Man 3,2007-05-01,5.9,3687.0
87101,tt1340138,Terminator Genisys,2015-06-23,5.8,3677.0
19908,tt1156398,Zombieland,2009-10-07,7.2,3655.0
637,tt0118799,Life Is Beautiful,1997-12-20,8.3,3643.0
2501,tt0258463,The Bourne Identity,2002-06-14,7.3,3640.0
62211,tt1453405,Monsters University,2013-06-20,7.0,3622.0
36668,tt0376994,X-Men: The Last Stand,2006-05-24,6.3,3581.0
68728,tt1623205,Oz: The Great and Powerful,2013-03-07,5.7,3576.0
141,tt0246578,Donnie Darko,2001-01-18,7.7,3574.0
36658,tt0290334,X2,2003-04-24,6.8,3572.0
328111,tt2709768,The Secret Life of Pets,2016-06-18,5.9,3536.0
47964,tt1606378,A Good Day to Die Hard,2013-02-06,5.2,3519.0
49530,tt1637688,In Time,2011-10-27,6.7,3512.0
68724,tt1535108,Elysium,2013-08-07,6.4,3510.0
604,tt0234215,The Matrix Reloaded,2003-05-15,6.7,3500.0
812,tt0103639,Aladdin,1992-11-25,7.4,3495.0
37799,tt1285016,The Social Network,2010-09-30,7.1,3492.0
9799,tt0232500,The Fast and the Furious,2001-06-22,6.6,3485.0
242582,tt2872718,Nightcrawler,2014-10-23,7.6,3475.0
68734,tt1024648,Argo,2012-10-11,7.1,3473.0
277834,tt3521164,Moana,2016-11-23,7.3,3471.0
17654,tt1136608,District 9,2009-08-05,7.3,3451.0
14,tt0169547,American Beauty,1999-09-15,7.9,3438.0
185,tt0066921,A Clockwork Orange,1971-12-18,8.0,3432.0
38757,tt0398286,Tangled,2010-11-24,7.4,3419.0
240,tt0071562,The Godfather: Part II,1974-12-20,8.3,3418.0
197,tt0112573,Braveheart,1995-05-24,7.7,3404.0
194,tt0211915,Amélie,2001-04-25,7.8,3403.0
266856,tt2980516,The Theory of Everything,2014-11-26,7.8,3403.0
4922,tt0421715,The Curious Case of Benjamin Button,2008-11-24,7.3,3398.0
187017,tt2294449,22 Jump Street,2014-06-05,7.0,3375.0
291805,tt3110958,Now You See Me 2,2016-06-02,6.7,3362.0
601,tt0083866,E.T. the Extra-Terrestrial,1982-04-03,7.3,3359.0
38356,tt1399103,Transformers: Dark of the Moon,2011-06-28,6.1,3351.0
216015,tt2322441,Fifty Shades of Grey,2015-02-11,5.2,3350.0
629,tt0114814,The Usual Suspects,1995-07-19,8.1,3334.0
602,tt0116629,Independence Day,1996-06-25,6.7,3334.0
953,tt0351283,Madagascar,2005-05-25,6.6,3322.0
8358,tt0162222,Cast Away,2000-12-22,7.5,3304.0
324786,tt2119532,Hacksaw Ridge,2016-10-07,7.8,3294.0
60304,tt1428538,Hansel & Gretel: Witch Hunters,2013-01-17,5.7,3290.0
679,tt0090605,Aliens,1986-07-18,7.7,3282.0
177677,tt2381249,Mission: Impossible - Rogue Nation,2015-07-23,7.1,3274.0
124905,tt0831387,Godzilla,2014-05-14,6.1,3232.0
9502,tt0441773,Kung Fu Panda,2008-06-04,6.9,3231.0
745,tt0167404,The Sixth Sense,1999-08-06,7.7,3223.0
89,tt0097576,Indiana Jones and the Last Crusade,1989-05-24,7.6,3221.0
116745,tt0359950,The Secret Life of Walter Mitty,2013-12-18,7.0,3213.0
283366,tt1935859,Miss Peregrine's Home for Peculiar Children,2016-09-28,6.5,3213.0
769,tt0099685,GoodFellas,1990-09-12,8.2,3211.0
350,tt0458352,The Devil Wears Prada,2006-06-30,7.0,3198.0
8373,tt1055369,Transformers: Revenge of the Fallen,2009-06-19,6.0,3192.0
608,tt0120912,Men in Black II,2002-07-03,6.1,3188.0
146233,tt1392214,Prisoners,2013-09-18,7.9,3183.0
58595,tt1735898,Snow White and the Huntsman,2012-05-30,5.8,3183.0
13223,tt1205489,Gran Torino,2008-12-09,7.8,3181.0
138843,tt1457767,The Conjuring,2013-07-18,7.4,3169.0
82702,tt1646971,How to Train Your Dragon 2,2014-06-12,7.6,3163.0
11036,tt0332280,The Notebook,2004-06-25,7.7,3163.0
293167,tt3731562,Kong: Skull Island,2017-03-08,6.2,3161.0
605,tt0242653,The Matrix Revolutions,2003-11-05,6.4,3155.0
294254,tt4046784,Maze Runner: The Scorch Trials,2015-09-09,6.5,3148.0
5915,tt0758758,Into the Wild,2007-09-11,7.8,3139.0
91314,tt2109248,Transformers: Age of Extinction,2014-06-25,5.8,3136.0
137106,tt1490017,The Lego Movie,2014-02-06,7.5,3127.0
198184,tt1823672,Chappie,2015-03-04,6.6,3124.0
1417,tt0457430,Pan's Labyrinth,2006-05-27,7.6,3122.0
310,tt0315327,Bruce Almighty,2003-05-23,6.4,3121.0
73,tt0120586,American History X,1998-10-30,8.2,3120.0
453,tt0268978,A Beautiful Mind,2001-12-11,7.7,3087.0
1724,tt0800080,The Incredible Hulk,2008-06-12,6.1,3086.0
6977,tt0477348,No Country for Old Men,2007-11-08,7.7,3083.0
809,tt0298148,Shrek 2,2004-05-19,6.7,3082.0
62,tt0062622,2001: A Space Odyssey,1968-04-10,7.9,3075.0
84892,tt1659337,The Perks of Being a Wallflower,2012-09-20,7.7,3056.0
138832,tt1723121,We're the Millers,2013-08-07,6.8,3053.0
8960,tt0448157,Hancock,2008-07-01,6.2,3050.0
787,tt0356910,Mr. & Mrs. Smith,2005-06-07,6.5,3048.0
75780,tt0790724,Jack Reacher,2012-12-20,6.3,3046.0
72559,tt1583421,G.I. Joe: Retaliation,2013-03-26,5.4,3045.0
9738,tt0120667,Fantastic Four,2005-06-29,5.5,3040.0
950,tt0438097,Ice Age: The Meltdown,2006-03-23,6.5,3034.0
83542,tt1371111,Cloud Atlas,2012-10-26,6.6,3031.0
10020,tt0101414,Beauty and the Beast,1991-11-13,7.5,3029.0
111,tt0086250,Scarface,1983-12-08,8.0,3017.0
254128,tt2126355,San Andreas,2015-05-27,6.0,3017.0
10764,tt0830515,Quantum of Solace,2008-10-30,6.1,3015.0
117263,tt2302755,Olympus Has Fallen,2013-03-20,6.2,3010.0
510,tt0073486,One Flew Over the Cuckoo's Nest,1975-11-18,8.3,3001.0
115,tt0118715,The Big Lebowski,1998-03-06,7.8,3001.0
156022,tt0455944,The Equalizer,2014-09-24,7.1,2997.0
19913,tt1022603,(500) Days of Summer,2009-07-17,7.2,2993.0
109439,tt1951261,The Hangover Part III,2013-05-23,6.0,2991.0
419430,tt5052448,Get Out,2017-02-24,7.2,2978.0
196,tt0099088,Back to the Future Part III,1990-05-25,7.1,2978.0
27578,tt1320253,The Expendables,2010-08-03,6.0,2977.0
278927,tt3040964,The Jungle Book,2016-04-07,6.7,2977.0
152532,tt0790636,Dallas Buyers Club,2013-09-07,7.9,2973.0
107,tt0208092,Snatch,2000-09-01,7.7,2953.0
1593,tt0477347,Night at the Museum,2006-10-20,6.4,2949.0
76163,tt1764651,The Expendables 2,2012-08-08,6.1,2940.0
2503,tt0440963,The Bourne Ultimatum,2007-08-03,7.3,2938.0
324552,tt4425200,John Wick: Chapter 2,2017-02-08,6.7,2924.0
12405,tt1010048,Slumdog Millionaire,2008-05-12,7.6,2918.0
110415,tt1706620,Snowpiercer,2013-08-01,6.7,2910.0
158852,tt1964418,Tomorrowland,2015-05-19,6.2,2904.0
20526,tt1104001,TRON: Legacy,2010-12-10,6.3,2895.0
13183,tt0409459,Watchmen,2009-03-05,7.0,2892.0
489,tt0119217,Good Will Hunting,1997-12-05,7.9,2880.0
2502,tt0372183,The Bourne Supremacy,2004-07-23,7.2,2873.0
168672,tt1800241,American Hustle,2013-12-12,6.8,2868.0
39514,tt1245526,RED,2010-10-13,6.6,2858.0
87,tt0087469,Indiana Jones and the Temple of Doom,1984-05-23,7.1,2841.0
652,tt0332452,Troy,2004-05-13,6.9,2841.0
264644,tt3170832,Room,2015-10-16,8.1,2838.0
45269,tt1504320,The King's Speech,2010-09-06,7.6,2817.0
76757,tt1617661,Jupiter Ascending,2015-02-04,5.2,2816.0
166426,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,6.6,2814.0
564,tt0120616,The Mummy,1999-04-16,6.6,2796.0
207,tt0097165,Dead Poets Society,1989-06-02,8.1,2786.0
82675,tt1397280,Taken 2,2012-09-27,6.1,2783.0
121856,tt2094766,Assassin's Creed,2016-12-21,5.4,2776.0
195589,tt2004420,Neighbors,2014-05-08,6.2,2773.0
591,tt0382625,The Da Vinci Code,2006-05-17,6.5,2773.0
187,tt0401792,Sin City,2005-04-01,7.2,2755.0
45612,tt0945513,Source Code,2011-03-30,7.1,2752.0
314365,tt1895587,Spotlight,2015-11-06,7.8,2751.0
39254,tt0433035,Real Steel,2011-09-28,6.6,2749.0
627,tt0117951,Trainspotting,1996-02-23,7.8,2737.0
57800,tt1667889,Ice Age: Continental Drift,2012-06-26,6.2,2731.0
374720,tt5013056,Dunkirk,2017-07-19,7.5,2712.0
411,tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,6.7,2709.0
82654,tt1588173,Warm Bodies,2013-01-31,6.4,2698.0
49040,tt1194173,The Bourne Legacy,2012-08-08,6.0,2683.0
318846,tt1596363,The Big Short,2015-12-11,7.3,2679.0
954,tt0117060,Mission: Impossible,1996-05-22,6.7,2677.0
126889,tt2316204,Alien: Covenant,2017-05-09,5.7,2677.0
98566,tt1291150,Teenage Mutant Ninja Turtles,2014-08-07,5.8,2677.0
296096,tt2674426,Me Before You,2016-06-02,7.6,2674.0
44115,tt1542344,127 Hours,2010-11-05,7.0,2668.0
180,tt0181689,Minority Report,2002-06-20,7.1,2663.0
1979,tt0486576,Fantastic 4: Rise of the Silver Surfer,2007-06-13,5.4,2648.0
50620,tt1673434,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,6.1,2641.0
188927,tt2660888,Star Trek Beyond,2016-07-07,6.6,2636.0
81005,tt1351685,Jack the Giant Slayer,2013-02-27,5.5,2634.0
296098,tt3682448,Bridge of Spies,2015-10-15,7.2,2633.0
103,tt0075314,Taxi Driver,1976-02-07,8.1,2632.0
578,tt0073195,Jaws,1975-06-18,7.5,2628.0
50619,tt1324999,The Twilight Saga: Breaking Dawn - Part 1,2011-03-15,5.8,2622.0
76492,tt0837562,Hotel Transylvania,2012-09-20,6.8,2622.0
1402,tt0454921,The Pursuit of Happyness,2006-12-14,7.7,2607.0
600,tt0093058,Full Metal Jacket,1987-06-26,7.9,2595.0
238713,tt3079380,Spy,2015-05-06,6.9,2590.0
256591,tt2381941,Focus,2015-02-25,6.7,2588.0
8909,tt0493464,Wanted,2008-06-19,6.4,2583.0
82700,tt1815862,After Earth,2013-05-30,5.0,2579.0
257344,tt2120120,Pixels,2015-07-16,5.6,2564.0
217,tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,5.7,2558.0
277,tt0320691,Underworld,2003-09-19,6.6,2556.0
44912,tt1133985,Green Lantern,2011-06-16,5.1,2551.0
854,tt0110475,The Mask,1994-07-29,6.6,2550.0
47933,tt1628841,Independence Day: Resurgence,2016-06-22,4.9,2550.0
315837,tt1219827,Ghost in the Shell,2017-03-29,5.9,2547.0
95,tt0120591,Armageddon,1998-07-01,6.5,2540.0
64635,tt1386703,Total Recall,2012-08-02,5.8,2540.0
333371,tt1179933,10 Cloverfield Lane,2016-03-10,6.8,2537.0
330,tt0119567,The Lost World: Jurassic Park,1997-05-23,6.2,2528.0
641,tt0180093,Requiem for a Dream,2000-10-27,7.9,2525.0
214756,tt2637276,Ted 2,2015-06-25,6.2,2524.0
50646,tt1570728,"Crazy, Stupid, Love.",2011-07-29,7.0,2522.0
70,tt0405159,Million Dollar Baby,2004-12-15,7.7,2519.0
18239,tt1259571,The Twilight Saga: New Moon,2009-03-15,5.6,2518.0
158015,tt2184339,The Purge,2013-05-31,6.0,2498.0
37686,tt1650062,Super 8,2011-06-08,6.6,2496.0
534,tt0438488,Terminator Salvation,2009-05-20,5.9,2496.0
109424,tt1535109,Captain Phillips,2013-10-10,7.6,2495.0
51497,tt1596343,Fast Five,2011-04-20,7.1,2491.0
258489,tt0918940,The Legend of Tarzan,2016-06-29,5.5,2488.0
771,tt0099785,Home Alone,1990-11-09,7.1,2487.0
747,tt0365748,Shaun of the Dead,2004-04-09,7.5,2479.0
65754,tt1568346,The Girl with the Dragon Tattoo,2011-12-14,7.2,2479.0
63,tt0114746,Twelve Monkeys,1995-12-29,7.4,2470.0
273481,tt3397884,Sicario,2015-09-17,7.2,2465.0
435,tt0319262,The Day After Tomorrow,2004-05-26,6.2,2462.0
772,tt0104431,Home Alone 2: Lost in New York,1992-11-19,6.3,2459.0
87502,tt1907668,Flight,2012-11-02,6.5,2449.0
49519,tt0481499,The Croods,2013-03-20,6.8,2447.0
49017,tt0829150,Dracula Untold,2014-10-01,6.2,2439.0
53182,tt1253863,300: Rise of an Empire,2014-03-05,6.1,2438.0
620,tt0087332,Ghostbusters,1984-06-07,7.3,2431.0
13804,tt1013752,Fast & Furious,2009-04-02,6.5,2426.0
150689,tt1661199,Cinderella,2015-03-12,6.7,2426.0
8844,tt0113497,Jumanji,1995-12-15,6.9,2413.0
86834,tt1959490,Noah,2014-03-20,5.5,2408.0
539,tt0054215,Psycho,1960-06-16,8.3,2405.0
254,tt0360717,King Kong,2005-12-14,6.6,2403.0
10625,tt0377092,Mean Girls,2004-04-30,6.9,2401.0
74,tt0407304,War of the Worlds,2005-06-28,6.2,2397.0
109414,tt1245492,This Is the End,2013-06-12,6.2,2394.0
324668,tt4196776,Jason Bourne,2016-07-27,5.9,2386.0
97020,tt1234721,RoboCop,2014-01-30,5.7,2385.0
62213,tt1077368,Dark Shadows,2012-05-08,5.7,2383.0
24021,tt1325004,The Twilight Saga: Eclipse,2010-06-23,5.9,2382.0
290250,tt3799694,The Nice Guys,2016-05-15,7.0,2382.0
9487,tt0120623,A Bug's Life,1998-11-25,6.8,2379.0
